"Keep your eyes open for our special Back to School items and save A LOT!","Keep your eyes open for our special Back to School items and save A LOT!"

"Search entire store here...","Cari di sini..."

"My Account","Akun"
"My Wishlist (%d items)","Wishlist (%d Ts)"
"My Wishlist (%d item)","Wishlist (%d T)"
"My Wishlist","Wishlist"
"My Cart","Keranjang"
"My Cart (%s item)","Keranjang(%s)"
"My Cart (%s items)","Keranjang(%s)"
"%s was added to your shopping cart.","%s telah ditambahkan ke keranjang."

"About Us","Tentang TsOnline"
"Search Terms","Kata Kunci Pencarian"
"Advanced Search","Pencarian Lanjutan"
"Orders and Returns","Pesanan & Pengembalian"
"Contact Us","Hubungi Kami"

"Slings","Anakan"
"There are no products matching the selection.","Maaf, item tidak tersedia."

"Search results for '%s'","Cari '%s'"
"Your search returns no results.","Tidak ditemukan."
"Enter the billing last name and email/ZIP as in the order billing address","Masukan nama dan email pada alamat tagihan"
"Billing Last Name","Nama pada Tagihan"
"Order Information","Informasi Pesanan"
"Find Order By:","Cari berdasarkan:"
"Email Address","Email"

"Shipping &amp; Delivery","Pengiriman"
"Privacy &amp; Security","Privasi &amp; Keamanan"
"Returns &amp; Replacements","Pengembalian &amp; Penggantian"
"Ordering","Pemesanan"
"Payment, Pricing &amp; Promotions","Pembayaran, Harga &amp; Promosi"
"Viewing Orders","Melihat Pesanan"
"Updating Account Information","Mengubah Informasi Akun"

"* Required Fields","* wajib diisi"
"Continue","Lanjut"
"Search","Cari"
"No items were found using the following search criteria.","Tidak ditemukan."
"Modify your search","Cari lagi"
"Position","Posisi"
"Name","Nama"
"Price","Harga"
"Search Settings","Pencarian"
"Catalog Advanced Search","Pencarian Lanjutan Katalog"
"per page","/halaman"
"Show","Tampilkan"
"Sort By","Urutkan"
"View as","Tampilan"

"Create an Account","Buat Akun"
"Personal Information","Info Personal"
"First Name","Nama Depan"
"Last Name","Nama Belakang"
"Confirm Password","Kondirmasi Password"

"Back","Kembali"

"Thank you for registering with %s.","Terima kasih telah mendaftar di %s."
"Welcome, %s!","Selamat Datang %s!"
"You have no items in your shopping cart.","Tidak ada item."
"You have no items to compare.","Tidak ada item."
"My Dashboard","Dashboard"
"Account Dashboard","Akun Dashboard"
"Account Information","Informasi Akun"
"Address Book","Daftar Alamat"
"My Orders","Pesanan"
"My Product Reviews","Review-ku"

"Shopping Cart is Empty","Keranjang Kosong"
"Click <a href=""%s"">here</a> to continue shopping.","Klik <a href=""%s"">di sini</a> untuk melanjutkan."

"Use spaces to separate tags. Use single quotes (') for phrases.","Gunakan spasi untuk memisahkan tag. Gunakan tanda kutip (') untuk frasa."
"Add Your Tags:","Tambah Tag Anda:"
"Product Tags","Tag Produk"
"Details","Detail"
"Add Tags","Tambah Tag"
"More Views","Gambar Lainnya"
"Double click on above image to view full picture","Klik gambar 2x untuk melihat gambar penuh"
"Quick Overview","Info Singkat"
"Availability:","Ketersediaan:"
"In stock","Tersedia"
"Email to a Friend","Email Teman"
"Be the first to review this product","Berikan review"
"OR","ATAU"
"Add to Wishlist","+ Wishlist"
"Add to Compare","Bandingkan"
"Compare Products","Perbandingan"
"Community Poll","Poling Komunitas"
"Add to Cart","+ Keranjang"
